,helpful_votes,location_id,lang,review_id,review,review_subject,trip_type,travel_date,rating,location_name,province,place_id
11,0,311043,en,962957976,"We all love a fantastic holiday photo to share and reflect on once home (I love a good holiday snap!), but the dilemma is that we live our life looking through the screen on our phones not looking at what is in front of us.  I felt Wat Phra was the prime example of this.   Every photo has to be Insta perfect, so it's not just a quite photo of the Buddha anymore.",Stunning reclining Buddha,Friends getaway,2024-08-31,4,Wat Phra Chetuphon,Bangkok,P03013220
12,0,311043,en,962944348,"This is a must visit at Bangkok.

 Largest reclining Buddha. and various other temples withing this complex. place is well maintained but it was crowded at the time of our visit.",Must visit this temple,Family,2024-07-31,5,Wat Phra Chetuphon,Bangkok,P03013220
13,0,311043,en,962761289,"Great experience, gold statue is amazing and unbelievably gigantic of course there is crowds but it’s Bangkok so it was expected",my visit to Asia Bangkok was very interesting so much to see Golden statue is amazing part of history and religion👍,Friends getaway,2024-08-31,5,Wat Phra Chetuphon,Bangkok,P03013220
14,0,311043,en,962482865,"The designs, the Buddhas, and other figures featured are beyond amazing. This was one of the most incredible sights of my trip. A must see in Bangkok.  We meanwhile arrived early before the place got too crowded.",Beyond Amazing,Couples,2024-07-31,5,Wat Phra Chetuphon,Bangkok,P03013220
15,0,317504,en,962528316,"Probably the best temple in Bangkok.. given the location on the river bank, and the structure, elaborate art work, etc.

Take a boat across the river to get to Wat Arun, and marvel at its beauty",The most picturesque Wat in Bangkok,Couples,2024-07-31,5,Temple Of Dawn (Wat Arun),Bangkok,P03013220
16,1,317504,en,956689958,"Wat Arun, the Temple of Dawn, is a breathtaking landmark on the Chao Phraya River's west bank. Its central prang, adorned with lime and clay and believed to use natural colors, glistens with intricate floral patterns and colored glass. The temple offers a cultural immersion with visitors often seen in beautiful traditional Thai dresses. As a symbol of resilience, Wat Arun's rich history and stunning architecture make it a must-visit destination.",Wat Arun: A Must-Visit Temple in Bangkok,Couples,2023-10-31,5,Temple Of Dawn (Wat Arun),Bangkok,P03013220
17,15,317504,en,955989676,"Known as Temple of Dawn, I went to this temple by water taxi on The Chao Phraya River, the experience was a pleasant one. I started out from Sathorn Ferry Dock near Shangri La Hotel, taking the express ferry Orange Flag cost 16 Bahts (35 cents) flat rate for the trip. The boat arrive every 30 minutes. The stop for Wat Arun is Ta Tian (Tian ferry dock), you can simply tell the cashier when you go to the ferry dock and they can help. Once you are on the boat, just tell the usher, they are very helpful. So, from Ta Tian, take a short walk to the next pier from crossing river, take a ferry cross to Wat Arun. This one cost 5 Bahts. You’ll love this trip. It’s a great experience. The boat is never crowded and Thais are very friendly.  Hope you enjoy it.",A must visit if you travel to Thailand,Solo travel,2024-06-30,5,Temple Of Dawn (Wat Arun),Bangkok,P03013220
18,5,317504,en,955909109,This is one of the famous temples in Bangkok and quite popular among locals and tourists for photoshoots as well. One can rent dress and even photographers outside. The complex is not that huge and can be easily covered in an hour. The entry fee is 200 TBH which includes a mini water bottle. Proper dress code needs to be followed for entering the temple. Don’t forget to try the cute icestick popsicles near the temple which costs roughly 80-90 TBH. I personally found the entrance ticket cost a bit higher.,Ideal for photoshoots,Solo travel,2024-04-30,4,Temple Of Dawn (Wat Arun),Bangkok,P03013220
19,0,317504,en,955712588,I have to admit that this is a place i have always wanted to visit and i wasnt disappointed. It was a very hot day so i wasnt able to spend as long as i wanted here but regardless to me this is a place that one must try to visit if ever in thailand. I love history and architecture and this site offers both. Incredible stunning temple with chinese ceramic unlike others in the city. It truly  is beautiful and iconic. My four year old was amazed by it and i can understand why. I hope to visit again and spend more time here,A bucket list item ticked off,Family,2024-06-30,4,Temple Of Dawn (Wat Arun),Bangkok,P03013220
20,0,456322,en,958208214,Nice place to visit if you are staying several days in chiang mai ! Not the most well know temple but good for meditation retreat,Nice temple in Chiang Mai,Friends getaway,2024-07-31,4,Wat Umong,Bangkok,P03013220
21,0,456322,en,948036212,This was a true surprise & much different from all the other temples we visited. This ancient temple is located in a forested area outside the city & is now used for meditation by devoted Buddists from around the world.,An ancient surprise,Family,2024-03-31,5,Wat Umong,Bangkok,P03013220
22,0,456322,en,947955459,"It is located just near to Chiangmai University, the alley at the back road of the university. It has tunnels dug out of a mound contains shrines with Buddha images (Umong is Thai Language means 'Tunnel'). On top of the mound has a large and circular bell shaped Lanna Style Pagoda.",Must visit temple in Chiangmai !,Solo travel,2024-02-29,5,Wat Umong,Bangkok,P03013220
23,0,456322,en,936553670,"The visit to this temple was a good pick for us
The history behind it.. the tunnel to get into the temple.. 
its beautiful  the atmosphere sorround so serene.. worth a visit",Beautiful,Family,2023-12-31,5,Wat Umong,Bangkok,P03013220
24,0,456322,en,933363899,Main pagoda was undergoing restoration and not much to see. Tunnel network was interesting to walk through and overall atmosphere was peaceful compared to other more popular temple sites.,Pagoda renovations diminish the experience,Family,2024-01-31,3,Wat Umong,Bangkok,P03013220
25,0,1368436,en,964217807,Beautiful Temple with great architectural beauty. Not a very big temple but take your time to walk around it and appreciate its beauty.,Beautiful White Temple,Family,2024-08-31,5,Wat Rong Khun,Bangkok,P03013220
26,0,1368436,en,962490689,Beautiful from afar but up close rather tacky and gimmicky. Has a very different feeling than the other temples - This place feels more like an amusement park - even has a gift shop at the end of several of the rooms. We are glad we went but also glad that we visited other temples in the area.,Beautiful from afar..,Couples,2024-07-31,3,Wat Rong Khun,Bangkok,P03013220
27,1,1368436,en,961637464,"Wat Rong Kun, White Temple, Chiang Rai, Thailand is simply stunning. Most visitors make the 3 hour drive from Chiang Mai to this location to see one of the 3 popular temples in this Chiang Rai. The temple requires ticket entry as it has many visitors. The property really is as stunning as photos or videos describe. Its intricate detail and well-designed grounds are very well maintained. It has security and visitors remain well-behaved for the most part. It’s very hot here, similar to Chiang Mai. And you totally need to bring sunglasses…the buildings are so bright and glaring. Amazing experience with a very good nearby food hall Buffett.","Wat Rong Kun, White Temple, Chiang Rai, Thailand",Friends getaway,2024-07-31,5,Wat Rong Khun,Bangkok,P03013220
28,0,1368436,en,956452490,"I am a local people here and I have been there many time. It was very beautiful.it is a unique and very recognizable temple. It stands out through its white color and glass in the plaster, sparkling in the sun.
If you need some more information. I am a tour guide, you can add me on Whats app +66839393940 JJ or sogood_travel@hotmail.com",White temple with private tour,Friends getaway,2024-06-30,5,Wat Rong Khun,Bangkok,P03013220
29,0,1368436,en,954780612,"Wow, please do make time to visit this beautiful temple. The details are spectacular and intricate. As many has suggested, please do visit in the morning when its less crowded and manageable. There is a loud hailer urging you loudly to move along which is very annoying, spoiling the tranquility",You must visit this place,Friends getaway,2024-06-30,5,Wat Rong Khun,Bangkok,P03013220
30,1,7913913,en,936472799,"My second visit to Wat Pak Nam Phasi Charoen, an amazing temple. In July 2023 there were less tourist around but even this time on a Sunday it was not too crowded. I took the MRT to Bang Phai station,  Exit 1, and then down the stairs or with the elevator, it takes about 15 minutes to reach the pedestrian bridge over the canal, and then to the grounds of the temple. There is the Meili Café near to the bridge, good espresso and brownies. 
There is so much to see at this temple, of course the giant Buddha statue is the main object for pictures. From the pagoda which is behind the Buddha pictures of the area can be taken. In the pagoda there are several levels to climb up the stairs, definitely worthwhile to do. 
Several foreign women walked around with very tight shorts and bustier, unfortunately the Thais are too shy to tell them that wearing such dress is very disrespectful.","Giant Buddha, and pagoda",Friends getaway,2024-01-31,5,Wat Pak Nam,Bangkok,P03013220
31,2,7913913,en,935907604,Like a lot of Bangkok it’s all where you least except it. And so close to other buildings it’s hard to take a picture that shows how good it is. I liked visiting here. I buy it’s in the tourist trail so busy but still worth seeing. Use the river buses to go as easy.,Worth seeing,Friends getaway,2024-01-31,4,Wat Pak Nam,Bangkok,P03013220
32,0,7913913,en,919905005,There is a tall and very beautiful pagoda. There is also a very large Buddha image. On the ground floor there are displays of ancient objects that are hard to find. It is a very magnificent temple. I was not disappointed at all when I came here. The atmosphere was very good. Traveling is convenient.,very good,Couples,2023-09-30,5,Wat Pak Nam,Bangkok,P03013220
33,0,7913913,en,890055418,"One of the newest Temples in Bangkok and very impressive. I'm a sucker for temples and this Buddha statue is amazing. 
Don't forget to visit all floors so you don't miss out on all artifacts on display and the Emerald statue on top floor.

",Impressive Buddha ,Solo travel,2023-04-30,5,Wat Pak Nam,Bangkok,P03013220
34,1,7913913,en,885150306,"Wat Paknam is a temple founded in 1610. The characteristic feature of this religious object is a giant Buddha statue - 69 meters high and 40 wide. Wat Paknam and Wat Paknam on the Bang Luang River are names that began to appear in historical records in the late 18th century. Paknam means ""lock in canal"" and refers to the location of the temple. Later, it was practically abandoned and interest in it declined. In the first half of the 20th century, it was thoroughly renovated and became widely known. This is a great merit of the abbot - it was Luang Pu Sodh. From a temple with only thirteen monks, he turned it into a thriving center of education and practice. The place is now famous for promoting Dhammakaya meditation, and monks and lay teachers are engaged in it. Activities also include charitable causes such as educational, construction and many other projects.

The temple is beautiful and each of my visits to this place brought a lot of impressions.",Wat Paknam - a beautiful Buddhist temple in Bangkok,NONE,2022-10-31,5,Wat Pak Nam,Bangkok,P03013220
35,0,447648,en,964491951,It was completely underwhelming and we went with a guide who should have known it was a Buddhist public holiday so the temple was extremely crowded. The views were not breathtaking and we have been to much more draw dropping temples in Thailand. The journey was long and windy up to the temple in a bumpy truck. We were then taken to the Meo hill tribes …who were all out working….absolutely nothing to see apart from cockerels tied up for cock fighting. We used aviator for this trip …it was a waste of time and money and double the cost if we had booked in Chiang  Mai …lesson learnt.,Not special,Couples,2024-07-31,2,Wat Phra Singh,Bangkok,P03013220
36,0,447648,en,949126324,"Visited this place during April 24, it is a must visit place in Chiang Mai. Architecture of the temple makes it unique. Mindset of people or monks in and around are very nice.",A must visit place in Chiang Mai,Friends getaway,2024-04-30,5,Wat Phra Singh,Bangkok,P03013220
37,0,447648,en,947799000,"This is a beautiful wat from the outside and houses some fine, richly adorned,  Buddha statutes. There are some other beautiful shrines behind the main wat. If you only want to see one wat, make this the one.",Beautiful,Couples,2024-04-30,4,Wat Phra Singh,Bangkok,P03013220
38,37,447648,en,947564556,"This Thai temple has been around since the 14th century and granted the status of a royal temple by King Ananda Mahidol in 1935. During the annual Phra Buddha Sihing from the temple is carried through the streets of Chiang Mai in a religious procession.

The golden Kulai chedi at the rear of the complex houses relics, although it's unclear if these are Buddha relics.

A very popular and photogenic temple to visit.",Popular and Photogenic Temple to Visit.,Friends getaway,2024-04-30,5,Wat Phra Singh,Bangkok,P03013220
39,0,447648,en,940491004,"One of the larger temple areas in the city, it gets rather crowded here. However, the quiet nature of temples and the garden area on the grounds here help preserve the peace. The most striking feature here for me was the smaller building towards the back that was completely coated in gold. Very easily found and within walking distance of most places in the inner part of Chiang Mai.",Peaceful Among Crowds,Couples,2023-04-30,5,Wat Phra Singh,Bangkok,P03013220
40,0,456623,en,947411328,"We thought this Wat was more stunning visually than most of the others probably due to there being more on the grounds.  People were hiring out traditional costumes and having photo shoots here which was fun to watch.  It was very hot so you definitely need to make sure you have a hat, sunnies and lots of water.  We had a tuk tuk take us around three of the ruins after visiting two on foot first and I think that worked well.  I would have hired the bicycles, but we had an elderly person with us which would have made that too slow.",Lots to see,Family,2024-04-30,5,Wat Chaiwatthanaram,Bangkok,P03013220
41,0,456623,en,946867745,"Visited with our 'With the locals' guide Piyaporn.  She took us round and explained its history. Amazing buildings, well worth a visit",Great architecture ,Couples,2024-03-31,5,Wat Chaiwatthanaram,Bangkok,P03013220
42,0,456623,en,945730641,"Desecrated and deserted some 300 years ago, restoration of the site only started in the 1980 and it has only been open to the public since 1992.    Some of the buildings are quite awe inspiring.  It must have looked magnificent in its heyday.",Awe inspiring,Couples,2024-02-29,5,Wat Chaiwatthanaram,Bangkok,P03013220
43,0,456623,en,941910713,"Arrived here at mid day and it was exceptionally hot and we get there by tuk tuk driver , we visit some other temples to getting around more easy",Amazing Ancient Temple,Couples,2023-04-30,5,Wat Chaiwatthanaram,Bangkok,P03013220
44,0,456623,en,935757015,"We ended our tour of Ayatthuya here, with a wonderful sunset. The te ple us really impressive and worth visiting. The sunset gave it a special atmosphere and very nice colors.",Great place for a sunset,Couples,2024-01-31,5,Wat Chaiwatthanaram,Bangkok,P03013220
45,0,1235228,en,959435711,"The area is quite nice and offers multiple opportunities for good pictures. However, not much is present anymore - mere foundations and some brick walls. We were a bit disappointed as we expected something like Angkor, which it is clearly not. Together with the return trip via boat, it was still a nice day.",Nice Location with interesting Atmosphere,Friends getaway,2023-08-31,3,Wat Mahathat,Bangkok,P03013220
46,0,1235228,en,956350043,"We went on a tour  to rhis area. I must say Ayutthaya is a amazing place to see, so much history behind it and so calm to be there. I walkes around this area and was amazed by the ruins that are left",Amazing place !,Friends getaway,2024-06-30,5,Wat Mahathat,Bangkok,P03013220
47,0,1235228,en,952373337,A wonderful place to visit and see. I totally recommend. I came here in a tour with Klook and it was wonderful experience.,Nice place to visit In Ayuthaya,Solo travel,2023-09-30,5,Wat Mahathat,Bangkok,P03013220
48,0,1235228,en,947638797,My favourite historical temple in Thailand there is so much to learn about Thai history and culture My second visit and I will go again,Lots of history,Family,2024-04-30,5,Wat Mahathat,Bangkok,P03013220
49,1,1235228,en,947411715,This was the first Wat we visited.  We caught the train to Ayutthaya from Bangkok which was a pleasant journey as we left early.  Walked down the lane opposite the station and crossed using the little ferry and walked 10 minutes.  Quite large grounds and very photogenic especially the buddha in the tree and we made sure to be respectful and get low when taking photos of the buddha head.  Really enjoyed this Wat and got some lovely photos to remember.,Very photogenic,Family,2024-04-30,5,Wat Mahathat,Bangkok,P03013220
50,35,2405697,en,953151437,"This is an unusual Buddhist temple near the eponymous train station. It’s also a large temple complex that you wouldn’t expect to find so near to the infamous Patpong. The complex has idols of Hindu, Chinese and Buddhist deities, including Ganesha, Amitabha and Maitreya. Much of the architecture of the complex is typical Thai, except that the ordination hall is one floor up and accessed via a double staircase, where you can also see a giant sculpture of Garuda on the facade. Inside the ordination hall are murals with deep intense colours of blue and burgundy after entering past doors with beautiful mother of pearl inlaid doors and window shutters.

The high altar has a golden statue of the Buddha seated and calling earth to witness. The buddha is seated on an unusual curved throne on multiple tiers, with each tier having a different design. 

One notable service provided by the temple is the Ruamkatanyu Foundation. This foundation provides burial services for those unable to afford funeral services. A truly worthy cause.","Buddhist Temple With Chinese & Hindu Deities, Home of Ruamkatanyu Foundation",Friends getaway,2024-05-31,5,Wat Hua Lumphong,Bangkok,P03013472
51,0,2405697,en,942843514,"Every visit to Bangkok for me is not just about savoring its vibrant street food, exploring the labyrinthine markets, or basking in the electric nightlife; it holds a deeper, more personal ritual. Tucked away amidst the humming cityscape is a temple that quietly beckons with a unique call to generosity – the act of coffin donation. 

This temple, a serene oasis, has become my unlikely pilgrimage site. Here, away from the skyscrapers' shadows, I participate in a tradition that honors life by supporting the journey after it. The coffin donation is a profound gesture in Thai culture, an offering of dignity and respect to those who have passed away without the means for a proper farewell.

Each trip, I find my way to the temple gates, where the metropolitan bustle gives way to a tranquil courtyard. The sign pointing to the 'Coffin donation' reaffirms my purpose. Inside, I'm greeted by walls lined with names, each representing a soul whose departure from this world was eased through the kindness of strangers. 

My contributions here are small, humble threads in the larger tapestry of communal care that this foundation weaves so diligently. But the impact, I've come to realize, is immeasurable. In Bangkok, among the temples and tuk-tuks, I've found a place where I can leave a piece of my heart, contributing to a cycle of giving that reverberates with the enduring spirit of humanity. 

This tradition has become an anchor of my Bangkok experiences, a meaningful counterpoint to the ephemeral joys of travel. It reminds me that amidst the transitory nature of life, there are enduring acts of kindness that define our existence. And so, with each visit, I embrace the poignant beauty of this city, not only through its sights and sounds but through the silent giving that echoes in its heart.

Please note:
1) Write your name on the pink slip of paper to be pasted on the coffin of your choice
2) Receipt is to be burnt at the temple connecting the donation centre after you make your wishes, do not bring it back

Address:
Wat Hua Lamphong
義德善堂
728 Rama IV Rd, Khwaeng Si Phraya, Khet Bang Rak, Bangkok 10500
Nearest train station: Sam Yan",Exploring the Compassionate Traditions of Bangkok: A Journey through Temple Gates to Coffin Donations,Family,2024-03-31,5,Wat Hua Lumphong,Bangkok,P03013472
52,0,2405697,en,942308179,"It was really solemn and beautiful, with several temples in the area. As I have read, there are offerings that you may purchase.",Beautifully peaceful,Family,2024-02-29,4,Wat Hua Lumphong,Bangkok,P03013472
53,2,2405697,en,932361776,It is located next to the MRT station and free to enter. The façade is well decorated. The interior is luminous. Murals are fabulous.,Positive Aspects,Solo travel,2023-12-31,4,Wat Hua Lumphong,Bangkok,P03013472
54,1,2405697,en,930385934,"Beautiful temple in the center of Bangkok. Wonderful architecture, good energy, very peaceful. Amazing city views as well. Highly recommend to visit.",Amazing Temple in the Center of Bangkok,Couples,2023-12-31,5,Wat Hua Lumphong,Bangkok,P03013472
55,0,456261,en,958982175,"I visited here with my wife and three kids one lovely and extremely hot afternoon. The temple has nicely manicured grounds with pretty vegetation. The temple has a great view of the city as well. I recommend morning time for a not so hot experience though. As with all the temples I’ve visited in Thailand, I loved this one too.",Beautiful temple,Family,2023-08-31,5,The Golden Mount (Wat Saket),Bangkok,P03013472
56,0,456261,en,956909702,"A nice modern temple, worth visiting when in Bangkok, if you can climb up the numerous stairs! The effort is worth it, you'll get a very nice view over the city from the top!",Impressive temple and nice view from the top,Couples,2024-02-29,4,The Golden Mount (Wat Saket),Bangkok,P03013472
57,1,456261,en,949804663,"Beautiful temple off the beaten track. It is within walking distance (10-15 minutes) from Sam Yot MRT.
The climb up Golden Mountain is beautiful. The stairs are gentle and lead along a circular path to the top, past niches, chapels, bells and gongs. The stupa at the top is under restoration, but the views are just as good. 
At the base there are shops selling food, drinks and souvenirs. There are also tables for sitting and resting. 
The tourist ticket also includes a bottle of water. It is well worth a visit.
Tip: Wear a cap and sunglasses as the sun is very strong there.",Beautiful,Couples,2024-04-30,4,The Golden Mount (Wat Saket),Bangkok,P03013472
58,0,456261,en,946836861,Have done most of the top tourist attractions in Bangkok before so wanted to see a few bits more off the beaten track. Golden mount is beautiful with a gentle climb with lots to see on the way up and small museum type displays all around. Don't miss the cave with the Bamiyan buddhas. Great views from the top too!,Golden mount is beautiful with a gentle climb with lots to see on the way up,Couples,2024-04-30,4,The Golden Mount (Wat Saket),Bangkok,P03013472
59,31,456261,en,946487860,"This amazing Buddhist Temple was built during the mid 19th century on a man made hill. The walk up takes you through landscaped, chapels, subsidiary temples and bells, in a circular path up to the peak. The temple at the top houses many altar, but the most important structure is the stupa believed to house a relic of Buddha brought back by Prince Pritsadang from Sri Lanka. Sadly, the stupa is currently undergoing renovation and little of it can be seen.

The views from the top are amazing!",Temple on a Man Made Hill & Buddha Relics,Friends getaway,2024-04-30,5,The Golden Mount (Wat Saket),Bangkok,P03013472
60,0,496987,en,959268780,"Had a fabulous massage here and returned the next day for another. Highly recommend. Each masseuse is different, of course. I benefited from both and left the place walking on air. Good prices, focused massage & essentially no/minimal wait. Thankyou, this is hard work, appreciated","Excellent, good prices, focused masseuses",Solo travel,2024-07-31,4,Wat Pho Thai Traditional Massage School,Bangkok,P03013472
61,1,496987,en,940903967,"I would not recommend this place. I went there thinking traditional Thai massage school. My masseuse was distracted. The beds are next to one another and so space can be a constraint. The masseuse kept talking to each other. It might depend on who you get as a masseuse but the service is superficial ""let me pretend I am giving you a traditional Thai massage"" kind. It is clean. though.  They change sheets after each massage and offer fresh clothes to change into for massage. The lady massaging my friend offered her slippers to my friend whose shoes was broken  which was a kind gesture but for massage it is a big NO! Not worth the money. I tried Bua Sabai and that is how I realized this was a scam. But again I think it depends on the masseuse too. Mine was lousy.",Do not waste your money here,Friends getaway,2024-03-31,2,Wat Pho Thai Traditional Massage School,Bangkok,P03013472
62,1,496987,en,927685546,Very bad place and expensive; inexperienced and not professional people doing massage. You can have much better massage in other cheaper places; I was so disappointed with the service. The young girl who was giving me foot massage was just there trying to finish time and didn’t really care about giving good service. Do not go there! ,Bad massage; inexperienced people working there,Couples,2023-11-30,1,Wat Pho Thai Traditional Massage School,Bangkok,P03013472
63,0,496987,en,907453590,I took my grandson because it is famous. The massage was slightly better than other massages I had. My grandson will forever tell the story of his massage at the famous temple but not for the quality of the massage once in a lifetime visit,Once in a lifetime visit,Family,2023-06-30,4,Wat Pho Thai Traditional Massage School,Bangkok,P03013472
64,0,496987,en,882808918,"While Wat Pho school trains most hotel spa staff, the massage on the Wat Pho temple complex is very touristic. The prices itself are still ok, but the service is flat conveyor style. If you want good medical massage with the necessary calm environment, this is not the right place.",Over-crowded and overly touristic,NONE,2023-03-31,3,Wat Pho Thai Traditional Massage School,Bangkok,P03013472
65,0,8595513,en,676144147,One of the oldest temples in Bangkok. Its most recent claim to fame came in 2018 when it was one of four temples raided during an investigation into financial fraud and money laundering.,One of the sites in Chinatown,Couples,2019-03-31,3,Wat Samphanthawong Saram Worawihan (Wat Ko),Bangkok,P03013472
66,0,8595513,en,645240455,Looks so amazing from outside and with those great walls. Felt really good with those garden green views.nothing much important but good to pass by. ,Ok place,Friends getaway,2018-12-31,3,Wat Samphanthawong Saram Worawihan (Wat Ko),Bangkok,P03013472
67,0,8595513,en,559018264,"Passing through an impressive gate and high wall led me into a lush, tropical garden and a grand entranceway. Looking up, I saw a flight of stairs leading up to the main hall - high pitched colorful orange tiled roof, Grand white columns supporting the two story structure and beautifully crafted carvings covered in gold as well as colored glass. Inside, however, was somewhat of a letdown. The images of Buddha and altars were rather simple and the rooms themselves somewhat bare and cold. This is an old temple - having been renovated in 1796. There is a beautiful wooden building that is part of the complex - it is a museum for the temple. The temple’s location is set within the Samphanthawong District - part of Chinatown.",Beauty is on the Exterior ,Solo travel,2018-02-28,3,Wat Samphanthawong Saram Worawihan (Wat Ko),Bangkok,P03013472
68,0,456262,en,962046184,Stumbled into this temple and it was one of my favourites. Gorgeous building and loved the marble courtyard and monk doing a recitation. Also much cheaper than Wat Po and Wat Arun at 100 THB. Close to giant swing,Worth a visit,Couples,2024-07-31,5,Wat Suthat,Bangkok,P03013472
69,0,456262,en,949802487,"A beautiful old temple in the old part of town, off the main tourist routes. It is within walking distance (10 minutes) from Sam Yot MRT. Admission for tourists is THB 100 and the ticket office is at the main entrance of the temple, opposite the giant red swing. The temple is open until 9pm, so it can be visited in the evening in a quieter atmosphere. It is well worth a visit.",Worth a visit,Couples,2024-04-30,4,Wat Suthat,Bangkok,P03013472
70,0,456262,en,923567100,"This is an ancient and old temple. We can see the art of the 19th century. When we go to the temple, we have to take off our shoes.",Ancient temple ,Friends getaway,2023-10-31,5,Wat Suthat,Bangkok,P03013472
71,0,456262,en,916552633,"It is a beautiful and old temple, built in  19th century .We visited Wat Suthat in
my visit to Bangkok 31 August to 7 September 2023.Absolutely  this place are
fantastic and show the art, culture and Heritage of Thai people. I enjoyed
walk around and see many statutes .Also, the people very kind and friendly.Note: This is a place of worship, but it is open to tourists. I ask those who want to take some pictures of some statues to respect the place of worship and take off their shoes.
",Old Temple,Family,2023-09-30,4,Wat Suthat,Bangkok,P03013472
